RoleName,RoleArn
aws-controltower-ReadOnlyExecutionRole,arn:aws:iam::233693416966:role/aws-controltower-ReadOnlyExecutionRole
AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-2
AWS-QuickSetup-EnableCRecording-62d8q_ap-south-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-south-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-2
AWS-QuickSetup-EnableCRecording-62d8q_ca-central-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ca-central-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-central-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-central-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-north-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-north-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-2
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-3,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-3
AWS-QuickSetup-EnableCRecording-62d8q_sa-east-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_sa-east-1
AWS-QuickSetup-EnableCRecording-62d8q_us-east-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_us-east-1
AWS-QuickSetup-EnableCRecording-62d8q_us-east-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_us-east-2
AWS-QuickSetup-EnableCRecording-62d8q_us-west-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_us-west-1
AWS-QuickSetup-EnableCRecording-62d8q_us-west-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_us-west-2
AWS-QuickSetup-StackSet-Local-AdministrationRole,arn:aws:iam::233693416966:role/AWS-QuickSetup-StackSet-Local-AdministrationRole
AWS-QuickSetup-StackSet-Local-ExecutionRole,arn:aws:iam::233693416966:role/AWS-QuickSetup-StackSet-Local-ExecutionRole
AWSCloud9SSMAccessRole,arn:aws:iam::233693416966:role/service-role/AWSCloud9SSMAccessRole
AWSControlTowerExecution,arn:aws:iam::233693416966:role/AWSControlTowerExecution
awslogs.prod.kelex.molecule.toppatterns,arn:aws:iam::233693416966:role/awslogs.prod.kelex.molecule.toppatterns
AWSReservedSSO_2-Tef-Environment-Admin_c9a35793e6868238,arn:aws:iam::233693416966:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_2-Tef-Environment-Admin_c9a35793e6868238
AWSReservedSSO_AWSAdministratorAccess_5fbee5e9ecc12309,arn:aws:iam::233693416966:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AWSAdministratorAccess_5fbee5e9ecc12309
