RoleName,RoleArn,UnderCFN,CFNStackName
cloudsec-identitycenter-tempvalidation-read,arn:aws:iam::909180469036:role/cloudsec-identitycenter-tempvalidation-read,Yes,IAM-Identity-Center-Pipeline
CloudSecAuditRole,arn:aws:iam::909180469036:role/CloudSecAuditRole,No,
CloudSeerTrustedServiceRole,arn:aws:iam::909180469036:role/CloudSeerTrustedServiceRole,No,
CodeGuruProfilerForwardToAmazonProfiler,arn:aws:iam::909180469036:role/CodeGuruProfilerForwardToAmazonProfiler,No,
CustomControlTowerCodePipelineRole,arn:aws:iam::909180469036:role/CustomControlTowerCodePipelineRole,Yes,CFCT-Stack
CustomControlTowerDeploymentLambdaRole,arn:aws:iam::909180469036:role/CustomControlTowerDeploymentLambdaRole,Yes,CFCT-Stack
CustomControlTowerLELambdaRole,arn:aws:iam::909180469036:role/CustomControlTowerLELambdaRole,Yes,CFCT-Stack
CustomControlTowerStateMachineLambdaRole,arn:aws:iam::909180469036:role/CustomControlTowerStateMachineLambdaRole,Yes,CFCT-Stack
Detect-root-actions-LambdaRootAPIMonitorRole,arn:aws:iam::909180469036:role/Detect-root-actions-LambdaRootAPIMonitorRole,Yes,Detect-root-actions
DiscoveryAnalyzerTrustedService-DO-NOT-DELETE,arn:aws:iam::909180469036:role/DiscoveryAnalyzerTrustedService-DO-NOT-DELETE,No,
EC2CapacityReservationService,arn:aws:iam::909180469036:role/EC2CapacityReservationService,No,
EKSClusterServiceRole,arn:aws:iam::909180469036:role/EKSClusterServiceRole,No,
erer,arn:aws:iam::909180469036:role/erer,No,
GatedGardenAudit,arn:aws:iam::909180469036:role/GatedGardenAudit,No,
GatedGardenInternalAudit,arn:aws:iam::909180469036:role/GatedGardenInternalAudit,No,
GitHubActionsRole,arn:aws:iam::909180469036:role/GitHubActionsRole,No,
HubdetectiveStack-DetectiveControlsLambdaFunctionS-P4IYV4VCDBYD,arn:aws:iam::909180469036:role/HubdetectiveStack-DetectiveControlsLambdaFunctionS-P4IYV4VCDBYD,No,
IibsAdminAccess-DO-NOT-DELETE,arn:aws:iam::909180469036:role/IibsAdminAccess-DO-NOT-DELETE,No,
IMDSv2-automigrator,arn:aws:iam::909180469036:role/IMDSv2-automigrator,No,
InternalAuditInternal,arn:aws:iam::909180469036:role/InternalAuditInternal,No,
IsengardAuditorRole-DO-NOT-DELETE,arn:aws:iam::909180469036:role/IsengardAuditorRole-DO-NOT-DELETE,No,
IsengardCloudTrailRole,arn:aws:iam::909180469036:role/IsengardCloudTrailRole,No,
IsengardConfigRole,arn:aws:iam::909180469036:role/IsengardConfigRole,No,
IsengardRole-DO-NOT-DELETE,arn:aws:iam::909180469036:role/IsengardRole-DO-NOT-DELETE,No,
IsengardRoleForDependencyAssuranceIamAnalyzer,arn:aws:iam::909180469036:role/IsengardRoleForDependencyAssuranceIamAnalyzer,No,
IsengardRoleForOptInComputeOptimizer,arn:aws:iam::909180469036:role/IsengardRoleForOptInComputeOptimizer,No,
lambda-role,arn:aws:iam::909180469036:role/lambda-role,No,
Lambda-UserIDCondition-Role-5WKGJB3A6V3U,arn:aws:iam::909180469036:role/Lambda-UserIDCondition-Role-5WKGJB3A6V3U,Yes,Lambda-UserIDCondition
